nid	label
6611261861369217543	-1
6611365434916602372	-1
6611132337998529028	-1
6611102590845321742	-1
6611338989540475405	-1
6611345637453595149	-1
6611087834684064260	-1
6611076794697122308	0
6611364967536919053	0
6611350902148170244	0
6611318480308273671	0
6611318480308273671	0
6611179218824856077	-1
6611065009277501955	0
6611265739527553550	0
6610941547481399821	6
6611340580104438280	1
6611346486703686147	0
6611337240402461187	0
6611274328480678407	0
6611332676982931972	6
6611115288979046919	0
6611312095533203976	1
6611332087158931982	0
6611308802044068356	0
6611169612937560579	0
6611334401236140552	0
6611323555479028227	0
6611303292179841550	6
6611065606223430151	0
6611360504256397831	0
6611347706159825416	0
6611335824422208013	0
1614085431183363	0
6611338947064758787	0
6611116447034769928	0
6611308871002620423	5
6611262714234798605	0
6611229158645170702	0
6611315069890331144	1
6611270062026261006	0
6611098701869875726	0
6611105292543328782	0
6611024616557117965	1
6609869667034989069	0
6611294550138814984	0
6611310545704321539	0
6611332733442458125	0
6611312989704290823	0
6611312989704290823	0
6611288574996251149	0
6611285832298922509	1
6611325107455394308	0
6611122825124119047	0
6611242549522727432	0
6611328411212186115	0
6611356588672287240	0

				





