nid	label
6589903368460698125	-1
6611622193170219528	0
6611439535433712135	0
6605002413768180238	2
6605501971690422791	2
6611468293851054600	4
6609884314370834957	0
6611093793217184270	0
6610678915268608516	1
6603674489702056455	0
6609247464224457220	6
6611680556440617480	6
6602971160697111054	6
6594680534444540419	0
6611393761521959431	0
6611686594518712846	-1
6600956152308040205	0
6594776358021235204	-1
6609211430447088135	0
6611112183004660231	0
6611640113044652547	0
6611375079097893390	0
6611605699384312334	2|-1
6611728482638496259	0
6611728075837145613	0
6611730092521423368	-1
6611719852308562446	4
6602747867813642760	0
6609795404156371460	0
6603248833252033028	0
6607025675175985668	0
6600316578200289800	-1
6611719755415945736	0
6610398199494476295	0
6607773285696406019	0
6611467776248775176	0
6609804107328782856	1
6591792136482456072	6
6606981211925512708	4
6610675638426665479	1
6611693347658531336	1
6611745500834038285	1
6611682631396360718	0
6611713378551333389	0
6583121106775835149	2
6609450068720222724	6
6583208603589542404	2
6611777552996368903	0
6610512725028110862	0
6611378565441126920	2
6606450398842585603	2|6
6609968104954921486	2
6611669376607191559	0
6600187084701434376	0
6611751508570538509	0
6611010101295710727	0
6611782583090938371	0
6611785263943254532	5
6610376130211873284	0
6611730092521423368	-1
6611728075837145613	0
6611872296564949507	2|6
6612036636291105294	-1
6611713378551333389	0
6611782583090938371	0
6611782610056118787	5
6612005026661401092	-1
6611883389836329486	0
6601431517782622734	0
6609535192749048324	0
6607222991572959752	0
6611769772746998286	-1
6605793829498913287	0
6606905582723006990	0
6610398199494476295	0
6592509841174954510	0
6612144865285243396	-1
6611455273678668301	0
6610967705358959118	6
6612011872772162062	5
6579493685061222919	1|5
6612012572331737608	0
6611888551703347719	0
6610552778672570894	0
6592868946494358024	0
6602000772248896013	0
6603484308709573133	0
6611819948165562884	0
6591718191741796877	0
6612077395815957005	0
6611090917438784008	1
6611497796996432388	1
6610976107447452168	0
6604069403594064388	0
6610614539719279117	0
6611084096510624264	3
6612191657926328846	0
6586559376805331469	0
6610804421829853704	0
6607950596714529283	1
6610579933997564420	4
6608673726428873223	0
6610373925555667463	0
6611016009878864398	0
6610739952562995720	0
6610739952562995720	0
6606572035747349005	4
6612194484799144455	0
6610973048025645572	0
6602845962396238350	0
6612210712032838151	0
6603468904331215363	0
6607718592173572612	0
6611298988438061581	0
6587670682027426311	0
6602741041978147332	0
6599926199621779975	0
6603131386188530179	1
6608027730061558286	0
6600626866007048718	0
6589475305931407885	0
6611415679155307016	0
6612421264545939981	0
6612502217448489486	0
6612403428695998979	0
6612522117344789006	-1
6590559756090343949	4
6612715738710934030	0
6613650927691760131	0
6613588576804274701	0
6613603249909924360	0
6613636352908984835	0
6603491911292420621	0
6611384406789587470	0
6610427352176394766	0
6597760780026774030	0
6613193447618642435	0
6609181087052595719	0
6586434200260313614	0
6612834592657244686	0
6613901239878943235	2
6590238715161870862	-1
6613676403265110531	0
6613714470109708814	-1
6613858078884364803	1
6612230361394971149	0
6611855979921277454	0
6611805494522675726	1
6613486418582831630	0
6610960234024272398	0
6604979254738289156	0
6613883531342905869	0
6612267898142458376	0
6612923036897116679	0
6613878624409879053	0
6613950171375993352	-1
6610376130211873284	0
6611386141658579460	0
6613531688641233416	0
6610606605060801037	0
6613177862994264579	1
6614721803757552132	0
6614932149260780036	0
6610596594943263239	6
6614736199493878286	0
6612540662988407304	0
6614600566045671939	0
6589864837440864772	0
6614994097033708036	0
6615019915344609799	0
6614537719567614477	5
6605727951965127172	6
6614406306759442951	0
6615021320595833348	0
6613301808590750216	0
6611530423149265412	1
6614949378945712644	0
6614387542311567886	0
6585071683579675150	0
6614984586680074755	0
6615023849316549134	0
6612614502993101319	0
6613197339358134787	0
6613783128303469070	0
6613409752904892932	0
6614850810830389768	0
6614836388724474372	0
6615094560685031949	-1
6604952537550291464	0
6614893329119183374	0
6615054678075900420	0
6611260528557818375	0
6614006536463188493	0
6614973444343726600	0
6614648108267602440	0
6606094479503917571	0
6606633332996309511	0
6615240211888620035	0
6614348589961314823	0
6614097531745862158	0
6615188945674174980	0
6615160075872895496	0
6615145832607908355	0
6615334101022933507	0
6615202810583581188	0
6606111728260350468	0
6615312220614033933	3
6615418612935033357	0
6611853304135680526	0
6615464951643374083	3
6615349939247514116	0
6615485153554727431	0
6609593485639025159	0
6615440008209760775	0
6609174075979858445	6
6615470485754872324	-1
6615374269331276296	-1
6615422203380892168	-1
6615369755945599502	-1
6615448660702396931	0
6615472524027232782	0
6602119893473034760	0
6615442987700716045	6
6615467811143680520	-1
6615506875553153550	0
	













	



	
		











	








